model_name,query_idx,query,gold_title,top1_title,top1_distance,top1_document,top2_title,top2_distance,top2_document,top3_title,top3_distance,top3_document,top4_title,top4_distance,top4_document,top5_title,top5_distance,top5_document,top6_title,top6_distance,top6_document,correct_rank,top1_accuracy,top6_recall
snowflake_arctic_l_v2,1,지게차 운전자의 안전수칙이 있는 OPS 검색해줘,[특수형태근로종사자] 지게차,[근로자용] 지게차 작업안전,0.5407487154006958,"[TITLE] [근로자용] 지게차 작업안전
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 근로자용 OPS 자료입니다.",[관리자용] 지게차 작업안전,0.5442945957183838,"[TITLE] [관리자용] 지게차 작업안전
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 관리자용 OPS 자료입니다.",[안전기준] 지게차,0.5456669926643372,"[TITLE] [안전기준] 지게차
[SUMMARY] 산업안전보건기준에 관한 규칙 OPS 자료",지게차 안전수칙이 생명수칙,0.5544040203094482,"[TITLE] 지게차 안전수칙이 생명수칙
[SUMMARY] 지게차 안전수칙이 생명수칙 1. 면허 소지자가 운전 2. 운전자 시야 확보 3. 좌석 안전벨트 착용",지게차 작업안전(16개국어),0.5549014210700989,"[TITLE] 지게차 작업안전(16개국어)
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 근로자용 OPS 자료입니다.",[한 눈에 보는] 지게차 주요 작업안전수칙 포스터,0.6104996204376221,"[TITLE] [한 눈에 보는] 지게차 주요 작업안전수칙 포스터
[SUMMARY] 지게차를 이용한 작업 시 꼭 알아야 할 주요 안전수칙에 대한 인포그래픽 포스터 ※ 본 포스터는 모든 의무사항을 포함하고 있지 않으므로 자세한 내용은 산업안전보건법을 참고하시길 바랍니다.",,0,0
snowflake_arctic_l_v2,2,물류창고에서 후진 중 충돌사고 예방자료 찾아줘,[중대재해사례 OPL]동료작업자가 후진하는 지게차에 부딪힘,냉동ㆍ물류창고 화재사고예방 매뉴얼,0.7518525719642639,"[TITLE] 냉동ㆍ물류창고 화재사고예방 매뉴얼
[SUMMARY] 냉동ㆍ물류창고 화재사고예방 매뉴얼",[건설업] 충돌조심 포스터,0.8155021667480469,"[TITLE] [건설업] 충돌조심 포스터
[SUMMARY] - 작업 장소에 근로자 출입통제 - 작업자 간 신호를 준수 - 주차 브레이크 및 고임목 설치",[중대재해_운수창고]_야적장에서 곡물정리 작업 중 후진하는 로더에 깔림,0.8341497182846069,"[TITLE] [중대재해_운수창고]_야적장에서 곡물정리 작업 중 후진하는 로더에 깔림
[SUMMARY] 야적장에서 곡물정리 작업 중 후진하는 로더에 깔림",[중대재해사례 OPL]작업장 내 이동 중인 근로자를 후진하는 지게차가 충돌,0.8363376259803772,"[TITLE] [중대재해사례 OPL]작업장 내 이동 중인 근로자를 후진하는 지게차가 충돌
[SUMMARY] [중대재해사례 OPL]작업장 내 이동 중인 근로자를 후진하는 지게차가 충돌",[중대재해사례 OPL]작업장 보행 중 제품 상차를 위해 후진하던 지게차와 충돌,0.837842583656311,"[TITLE] [중대재해사례 OPL]작업장 보행 중 제품 상차를 위해 후진하던 지게차와 충돌
[SUMMARY] [중대재해사례 OPL]작업장 보행 중 제품 상차를 위해 후진하던 지게차와 충돌",냉동물류창고 화재사고예방 매뉴얼(개정판),0.8384079933166504,"[TITLE] 냉동물류창고 화재사고예방 매뉴얼(개정판)
[SUMMARY] 냉동물류창고 화재사고예방 매뉴얼(개정판)",,0,0
snowflake_arctic_l_v2,3,포크에 화물 싣고 이동할 때 주의사항 자료,지게차 재해사례와 위험요인,화물 적재 안전작업 가이드 2종,0.8059056401252747,"[TITLE] 화물 적재 안전작업 가이드 2종
[SUMMARY] 안전한 화물 적재방법 : 화물 쌓기 + 화물 결박 컨테이너 화물 적재 및 안전작업 가이드",[한 눈에 보는] 화물차 주요 작업안전수칙 포스터,0.8288293480873108,"[TITLE] [한 눈에 보는] 화물차 주요 작업안전수칙 포스터
[SUMMARY] 화물운반트럭을 이용한 작업 시 꼭 알아야 할 주요 안전수칙에 대한 인포그래픽 포스터 ※ 본 포스터는 모든 의무사항을 포함하고 있지 않으므로 자세한 내용은 산업안전보건법을 참고하시길 바랍니다.",중량물 운반안전,0.849061906337738,"[TITLE] 중량물 운반안전
[SUMMARY] 중량물 운반안전 포스터",[일터에서의 안전보건 OPL] 중량물 들어 올릴때 특별 조치,0.8695060610771179,"[TITLE] [일터에서의 안전보건 OPL] 중량물 들어 올릴때 특별 조치
[SUMMARY] [일터에서의 안전보건 OPL] 중량물 들어 올릴때 특별 조치",이륜차 안전배달 가이드북(포켓용),0.8839913010597229,"[TITLE] 이륜차 안전배달 가이드북(포켓용)
[SUMMARY] 2017_이륜차 안전배달 가이드북(포켓용) 기존 내용 수정 및 삽화 변경",화물차 재해사례와 위험요인,0.8984524011611938,"[TITLE] 화물차 재해사례와 위험요인
[SUMMARY] 화물차의 재해유형, 재해사례, 위험요인, 안전점검표(체크리스트) 첨부",,0,0
snowflake_arctic_l_v2,4,상하차 작업 안전보건 OPS 찾아줘,지게차 재해사례와 위험요인,화물 상·하차 작업,0.7641980648040771,"[TITLE] 화물 상·하차 작업
[SUMMARY] 안전보건 실무길잡이를 바탕으로 만든 화물 상·하차 작업안전 교안입니다.",(소형화물운수업)탑차 안전작업,0.807875394821167,"[TITLE] (소형화물운수업)탑차 안전작업
[SUMMARY] 탑차 안전작업",(안전보건스티커) 지게차 상·하차작업,0.8093641996383667,"[TITLE] (안전보건스티커) 지게차 상·하차작업
[SUMMARY] 2018 안전보건스티커 지게차 상하차작업",[항공 안전] 재해사례로 보는 항공 지상조업 안전보건교육,0.8116421103477478,"[TITLE] [항공 안전] 재해사례로 보는 항공 지상조업 안전보건교육
[SUMMARY] [항공 안전] 재해사례로 보는 항공 지상조업 안전보건교육 OPS",주차설비점검 작업안전,0.8147718906402588,"[TITLE] 주차설비점검 작업안전
[SUMMARY] 안전보건 OPL",[안전보건 애니메이션]화물차 사용시 작업안전,0.818539559841156,"[TITLE] [안전보건 애니메이션]화물차 사용시 작업안전
[SUMMARY] 안전보건 애니메이션 화물차 사용시 작업안전",,0,0
snowflake_arctic_l_v2,5,지게차 작업 전 점검표 OPS 자료 검색,작업 전 안전점검(지게차) - 자율안전점검표 포함,[근로자용] 지게차 작업안전,0.5320465564727783,"[TITLE] [근로자용] 지게차 작업안전
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 근로자용 OPS 자료입니다.",[작업전 안전점검 OPL_설비별] 지게차,0.5455796718597412,"[TITLE] [작업전 안전점검 OPL_설비별] 지게차
[SUMMARY] [작업전 안전점검 OPL_설비별] 지게차",지게차 작업안전(16개국어),0.5486478805541992,"[TITLE] 지게차 작업안전(16개국어)
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 근로자용 OPS 자료입니다.",작업 전 안전점검(지게차) - 자율안전점검표 포함,0.5523191094398499,"[TITLE] 작업 전 안전점검(지게차) - 자율안전점검표 포함
[SUMMARY] 작업 전 안전점검(지게차) - 재해사례 및 자율안전 점검표",[관리자용] 지게차 작업안전,0.5533393621444702,"[TITLE] [관리자용] 지게차 작업안전
[SUMMARY] 위험기계·기구(지게차) 작업안전에 관한 관리자용 OPS 자료입니다.",[안전기준] 지게차,0.58814537525177,"[TITLE] [안전기준] 지게차
[SUMMARY] 산업안전보건기준에 관한 규칙 OPS 자료",4.0,0,1
snowflake_arctic_l_v2,6,지붕공사 작업안전수칙 찾아줘,축사 지붕공사 추락사고 예방 OPS,[한 눈에 보는] 지붕공사 주요 작업안전수칙 포스터,0.4847301244735718,"[TITLE] [한 눈에 보는] 지붕공사 주요 작업안전수칙 포스터
[SUMMARY] 지붕 작업 시 꼭 알아야 할 주요 안전수칙에 대한 인포그래픽 포스터 ※ 본 포스터는 모든 의무사항을 포함하고 있지 않으므로 자세한 내용은 산업안전보건법을 참고하시길 바랍니다.",지붕공사 작업안전 OPS,0.5390209555625916,"[TITLE] 지붕공사 작업안전 OPS
[SUMMARY] 지붕공사 작업안전 OPS",지붕작업 안전수칙,0.5418219566345215,"[TITLE] 지붕작업 안전수칙
[SUMMARY] 지붕작업 시 안전수칙에 관한 교육용 교안(PPT)자료입니다.",지붕공사 작업안전(개정판),0.5560154914855957,"[TITLE] 지붕공사 작업안전(개정판)
[SUMMARY] 지붕공사 작업안전 매뉴얼 개정판",지붕작업 사고사례 및 핵심예방조치 안내,0.578835666179657,"[TITLE] 지붕작업 사고사례 및 핵심예방조치 안내
[SUMMARY] 지붕작업 사고사례 및 핵심예방조치 안내 - 재해사례 및 자율안전점검표",지붕공사 추락위험 안전점검수칙,0.592215895652771,"[TITLE] 지붕공사 추락위험 안전점검수칙
[SUMMARY] 5월부터 급증하는 지붕공사 중 추락 재해를 예방하기위해 '중대재해사례','예방대책', '키-메시지', '안전점검표'를 포함한 미디어를 배포하고자 합니다.",,0,0
snowflake_arctic_l_v2,7,회전체 끼임사고 예방 OPS 검색,[안전기준] 원동기·회전축 위험방지 등,(캠페인) 추락·끼임사고 예방 일제점검 안내 OPS,0.6214251518249512,"[TITLE] (캠페인) 추락·끼임사고 예방 일제점검 안내 OPS
[SUMMARY] 사고사망 감축을 위한 추락·끼임사고 예방 일제점검 관련 안내",(캠페인) 끼임사고 예방 일제점검 안내 및 자율점검표 OPS,0.6778178215026855,"[TITLE] (캠페인) 끼임사고 예방 일제점검 안내 및 자율점검표 OPS
[SUMMARY] - 끼임사고 예방 일제점검 안내 - 끼임 예방을 위한 자율점검표 - 코로나19 방역 및 폭염 관련 점검표",감김·끼임재해예방 OPL,0.686474084854126,"[TITLE] 감김·끼임재해예방 OPL
[SUMMARY] 감김·끼임재해예방 OPL",이륜차 사고예방 교육 OPS,0.7229146361351013,"[TITLE] 이륜차 사고예방 교육 OPS
[SUMMARY] 이륜차 사고예방 교육 OPS",정비·보수 작업 끼임 사망사고 예방,0.7271105647087097,"[TITLE] 정비·보수 작업 끼임 사망사고 예방
[SUMMARY] 정비·보수 작업 끼임 사망사고 예방 OPL 1. 핵심 실천사항 2. 사고사례 3. 주요 위험포인트",[장년근로자용 OPL] 끼임 재해예방,0.7449929714202881,"[TITLE] [장년근로자용 OPL] 끼임 재해예방
[SUMMARY] [장년근로자용 OPL] 끼임 재해예방",,0,0
snowflake_arctic_l_v2,8,자동라인 청소 중 사고 예방수칙,(기타제조업)자동화설비 취급작업,크레인 작업 사망사고 예방,0.8388305902481079,"[TITLE] 크레인 작업 사망사고 예방
[SUMMARY] 크레인 작업 사망사고 예방 OPL 1. 핵심 실천사항 2. 사고사례 3. 주요 위험포인트",[안전보건 OPL]정비 보수 청소 등 비일상 작업 시 사고예방,0.8445963859558105,"[TITLE] [안전보건 OPL]정비 보수 청소 등 비일상 작업 시 사고예방
[SUMMARY] [안전보건 OPL]정비 보수 청소 등 비일상 작업 시 사고예방",[항만 안전] 라싱 작업 시 안전수칙,0.8525655269622803,"[TITLE] [항만 안전] 라싱 작업 시 안전수칙
[SUMMARY] [항만 안전] 라싱 작업 시 안전수칙",[중대재해사례]로봇 자동용접라인 점검 중 협착,0.8623133301734924,"[TITLE] [중대재해사례]로봇 자동용접라인 점검 중 협착
[SUMMARY] [중대재해사례]로봇 자동용접라인 점검 중 협착",정비·보수 작업 끼임 사망사고 예방,0.8709853887557983,"[TITLE] 정비·보수 작업 끼임 사망사고 예방
[SUMMARY] 정비·보수 작업 끼임 사망사고 예방 OPL 1. 핵심 실천사항 2. 사고사례 3. 주요 위험포인트",감전재해 예방 10대 안전수칙,0.8816187381744385,"[TITLE] 감전재해 예방 10대 안전수칙
[SUMMARY] 감전재해 예방 10대 안전수칙",,0,0
snowflake_arctic_l_v2,9,설비 정비 중 갑자기 작동하는 사고 관련 자료,LOTO 작업절차 바로알기,"(교재) 현장작업자를 위한 기계기구, 설비의 정비보수 작업안전",0.7444143891334534,"[TITLE] (교재) 현장작업자를 위한 기계기구, 설비의 정비보수 작업안전
[SUMMARY] 사고사망 감소를 위한 안전보건 교재",(어업)기관점검 및 사고사례,0.7655935287475586,"[TITLE] (어업)기관점검 및 사고사례
[SUMMARY] 기관점검 및 사고사례","현장작업자를 위한 기계ㆍ기구, 설비의 정비ㆍ보수 작업안전",0.765600860118866,"[TITLE] 현장작업자를 위한 기계ㆍ기구, 설비의 정비ㆍ보수 작업안전
[SUMMARY] 현장작업자를 위한 기계ㆍ기구, 설비의 정비ㆍ보수 작업안전","현장작업자를 위한 기계ㆍ기구, 설비의 정비ㆍ보수 작업안전",0.7656009793281555,"[TITLE] 현장작업자를 위한 기계ㆍ기구, 설비의 정비ㆍ보수 작업안전
[SUMMARY] 현장작업자를 위한 기계ㆍ기구, 설비의 정비ㆍ보수 작업안전",[중대재해사례]조형기 정비작업 중 기계작동으로 협착,0.7694942951202393,"[TITLE] [중대재해사례]조형기 정비작업 중 기계작동으로 협착
[SUMMARY] [중대재해사례]조형기 정비작업 중 기계작동으로 협착","[Quick Message] 기계설비 점검, 수리 중 끼임사고 연속발생",0.776835560798645,"[TITLE] [Quick Message] 기계설비 점검, 수리 중 끼임사고 연속발생
[SUMMARY] 최근 기계설비 점검, 수리 작업 중 끼임 사망사고가 연이어 발생함에 따라, 안전한 작업방법 및 관련 콘텐츠 링크를 안내해드립니다.",,0,0
snowflake_arctic_l_v2,10,밀폐공간 질식사고 예방자료 검색,24년 밀폐공간 질식재해예방 안전작업 가이드,밀폐공간 질식재해예방 안전작업 가이드,0.48401939868927,"[TITLE] 밀폐공간 질식재해예방 안전작업 가이드
[SUMMARY] 밀폐공간 질식재해예방 안전작업 가이드 개정",`24년 밀폐공간 질식재해예방 안전작업 가이드,0.5232537984848022,"[TITLE] `24년 밀폐공간 질식재해예방 안전작업 가이드
[SUMMARY] `24년 밀폐공간 질식재해예방 안전작업 가이드",밀폐공간작업 질식재해예방,0.527484118938446,"[TITLE] 밀폐공간작업 질식재해예방
[SUMMARY] - 밀폐공간작업 개요 - 밀폐공간작업에서의 질식재해통계 - 질식재해사례 - 작업종류별 예방대책 - 기타",밀폐공간작업 질식재해예방 매뉴얼,0.5469884872436523,"[TITLE] 밀폐공간작업 질식재해예방 매뉴얼
[SUMMARY] 밀폐공간작업시 질식재해예방을 위한 매뉴얼 - 밀폐공간개념 - 밀폐공간 파악 및 관리 - 밀폐공간작업 프로그램 - 밀폐공간작업시 조치기준 - 재해사례 등",키메세지(8월_질식재해예방),0.5963073968887329,"[TITLE] 키메세지(8월_질식재해예방)
[SUMMARY] - 밀폐공간 질식재해 예방 대책 안내 - 질식재해 관련 콘텐츠 안내 (콘텐츠 바로가기 링크 탑재)",밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP1),0.6251946091651917,"[TITLE] 밀폐공간작업 특성별 질식재해예방 매뉴얼(TOP1)
[SUMMARY] 산업안전보건기준에 관한 규칙 별표18(밀폐공간) 11호에 해당하는 밀폐공간작업시 질식재해를 예방하기 위한 매뉴얼",,0,0
snowflake_arctic_l_v2,11,탱크 내부 작업 안전가이드,24년 밀폐공간 질식재해예방 안전작업 가이드,저장탱크 폭발사고 안전수칙,0.6049386262893677,"[TITLE] 저장탱크 폭발사고 안전수칙
[SUMMARY] 화재폭발사례 핵심안전수칙 자체점검표",[작업전 안전점검 OPL_설비별] 저장탱크,0.700786828994751,"[TITLE] [작업전 안전점검 OPL_설비별] 저장탱크
[SUMMARY] [작업전 안전점검 OPL_설비별] 저장탱크",소형탱크 세정 작업안전,0.7088984847068787,"[TITLE] 소형탱크 세정 작업안전
[SUMMARY] 안전보건 OPL",현장 작업자를 위한 밀폐공간작업 안전,0.7178907990455627,"[TITLE] 현장 작업자를 위한 밀폐공간작업 안전
[SUMMARY] 밀폐공간작업교재",화물하역 직종 안전작업 가이드,0.7228281497955322,"[TITLE] 화물하역 직종 안전작업 가이드
[SUMMARY] 화물하역종사원을 위한 안전작업 가이드입니다.",현장작업자를 위한 하역운반기계 작업안전,0.7251898050308228,"[TITLE] 현장작업자를 위한 하역운반기계 작업안전
[SUMMARY] 현장작업자를 위한 하역운반기계 작업안전",,0,0
snowflake_arctic_l_v2,12,산소 부족으로 쓰러지는 사고 예방 OPS,24년 밀폐공간 질식재해예방 안전작업 가이드,[관리자용] 산소결핍증 직업성 질병 예방,0.7203858494758606,"[TITLE] [관리자용] 산소결핍증 직업성 질병 예방
[SUMMARY] 중대재해처벌법 상 직업성 질병 예방을 위한 OPS 자료",[근로자용] 산소결핍증 직업성 질병 예방,0.738143265247345,"[TITLE] [근로자용] 산소결핍증 직업성 질병 예방
[SUMMARY] 중대재해처벌법 상 직업성 질병 예방을 위한 OPS 자료",폐기물처리업 사망사고 예방대책 OPS,0.8213529586791992,"[TITLE] 폐기물처리업 사망사고 예방대책 OPS
[SUMMARY] 폐기물처리업 사망사고 예방을 위한 OPS",(캠페인) 추락·끼임사고 예방 일제점검 안내 OPS,0.8315471410751343,"[TITLE] (캠페인) 추락·끼임사고 예방 일제점검 안내 OPS
[SUMMARY] 사고사망 감축을 위한 추락·끼임사고 예방 일제점검 관련 안내",달비계 작업 추락사고 예방,0.8374315500259399,"[TITLE] 달비계 작업 추락사고 예방
[SUMMARY] 달비계 작업 추락사고 예방을 위한 OPS",폐기물처리업 사망사고 예방 OPS,0.8443894386291504,"[TITLE] 폐기물처리업 사망사고 예방 OPS
[SUMMARY] 폐기물처리업 사망사고 예방 OPS",,0,0
snowflake_arctic_l_v2,13,유해가스 측정 관련 작업자료,24년 밀폐공간 질식재해예방 안전작업 가이드,[보건기준] 유해가스 발생장소 등에 대한 조치,0.7992671728134155,"[TITLE] [보건기준] 유해가스 발생장소 등에 대한 조치
[SUMMARY] 산업안전보건기준에 관한 규칙 OPS 자료",유해화학물질 취급시설검사 및 안전진단 사업안내 리플릿,0.8208752870559692,"[TITLE] 유해화학물질 취급시설검사 및 안전진단 사업안내 리플릿
[SUMMARY] 유해화학물질 취급시설검사 및 안전진단 사업안내 리플릿",관리대상 유해물질 등의 선정 기준에 관한 연구,0.8840684294700623,"[TITLE] 관리대상 유해물질 등의 선정 기준에 관한 연구
[SUMMARY] 산업안전보건법상 관리대상 유해물질 및 작업환경측정 대상 유해인자 선정기준안을 마련하고 제안된 관리대상 유해물질 등의 선정기준안을 통해 정책적 반영을 하고자 함.",작업장 라돈관리 가이드,0.9136298894882202,"[TITLE] 작업장 라돈관리 가이드
[SUMMARY] 작업장내 라돈농도 측정방법 및 노출수준별 관리요령",유해인자 노출 근로자의 특수건강진단 실시기준 마련,0.9228110313415527,"[TITLE] 유해인자 노출 근로자의 특수건강진단 실시기준 마련
[SUMMARY] 유해인자 노출 근로자의 특수건강진단 실시기준 마련 보고서",밀폐공간 질식재해예방 안전작업 가이드,0.9257848262786865,"[TITLE] 밀폐공간 질식재해예방 안전작업 가이드
[SUMMARY] 밀폐공간 질식재해예방 안전작업 가이드 개정",,0,0
snowflake_arctic_l_v2,14,화학약품 취급 작업 안전수칙 자료,안전한 화학물질 취급 및 저장방법,화학물질 취급작업,0.4979937672615051,"[TITLE] 화학물질 취급작업
[SUMMARY] 화학물질 취급작업교재",화학물질 취급 작업 시 중독 예방 조치사항 안내 소책자,0.5908489227294922,"[TITLE] 화학물질 취급 작업 시 중독 예방 조치사항 안내 소책자
[SUMMARY] 화학물질 취급 시 중독 예방을 위한 필수 안전보건조치 내용 안내 소책자 ※ 화학물질 취급 작업 관련 법령 정보를 접하기 어려운 중소규모 사업장 사업주, 중간관리자 등의 최소한의 조치사항 실천을 위한 자료",화학물질 안전보건관리 10가지,0.6273049712181091,"[TITLE] 화학물질 안전보건관리 10가지
[SUMMARY] 화학물질 취급시 반드시 알아야할 안전보건관리 요령(10개 항목) 안내",(교안)화학물질 취급작업,0.6371456980705261,"[TITLE] (교안)화학물질 취급작업
[SUMMARY] (교안)화학물질 취급작업교안",화학설비 작업,0.6452053189277649,"[TITLE] 화학설비 작업
[SUMMARY] 화학설비 작업교재",안전한 화학물질 취급을 위한 10대 수칙 OPL,0.6577944755554199,"[TITLE] 안전한 화학물질 취급을 위한 10대 수칙 OPL
[SUMMARY] 안전한 화학물질 취급을 위한 10대 수칙 OPL",,0,0
